ATC code,drug,count
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
A07EC01,DB00795,1231643,
N02AJ14,DB00193,1229930,
M05BB02,DB01373,1710834,
M05BB04,DB01373,1710834,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C03CB02,DB00887,1221960,
C03CB02,DB14500,530273,
C03EB02,DB00887,1221960,
C03CA02,DB00887,1221960,
J01CR50,DB01060,1230235,
A08AB01,DB01083,1231971,
M05BB08,DB01373,1710834,
M05BB05,DB01373,1710834,
M05BB04,DB01373,1710834,
J01AA02,DB00254,1226129,
A01AB22,DB00254,1226129,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
J01CR50,DB01060,1230235,
J01CR50,DB01060,1230235,
A02BD02,DB00448,1222030,
J01AA20,DB00254,1226129,
J01AA20,DB00595,1228775,
R03AL12,DB00764,1229948,
R03AK14,DB00764,1229948,
C03BA11,DB00808,1228423,
C09BX01,DB00381,1225161,
C09BX01,DB00808,1228423,
C09BX01,DB00790,1233226,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
C10BX13,DB01098,1227117,
C10BX13,DB00808,1228423,
C10BX13,DB00790,1233226,
G01AE10,DB00482,1231958,
G01AE10,DB01098,1227117,
G01AE10,DB00695,1220619,
G01AE10,DB00669,1223922,
G01AE10,DB00795,1231643,
G01AE10,DB00887,1221960,
G01AE10,DB00808,1228423,
G01AE10,DB00436,1234016,
S01EE03,DB00905,1229307,
A02BD09,DB00448,1222030,
A10BD14,DB00331,1224407,
R03AK06,DB13867,1229304,
R03AK06,DB00938,1226746,
R03AK12,DB01222,1223827,
R03AK12,DB00938,1226746,
R03AC12,DB00938,1226746,
